sigma	1			sigma	0.08
mu	5.00E-01			mu	0.08
Amplitude	8			amplitude	2.14

Time	PRE	EXP	LOG	PRE	EXP	NOR
0.311	1.28E+00	-5.07E-01	6.18E+00	4.99E+00	-4.17E+00	1.65E-01
0.312	1.28E+00	-5.06E-01	6.17E+00	4.99E+00	-4.21E+00	1.59E-01
0.313	1.27E+00	-5.04E-01	6.16E+00	4.99E+00	-4.24E+00	1.54E-01
0.314	1.27E+00	-5.03E-01	6.15E+00	4.99E+00	-4.28E+00	1.48E-01
0.315	1.27E+00	-5.02E-01	6.13E+00	4.99E+00	-4.31E+00	1.43E-01
0.316	1.26E+00	-5.00E-01	6.12E+00	4.99E+00	-4.35E+00	1.38E-01
0.317	1.26E+00	-4.99E-01	6.11E+00	4.99E+00	-4.39E+00	1.33E-01
0.318	1.25E+00	-4.98E-01	6.10E+00	4.99E+00	-4.43E+00	1.28E-01
0.319	1.25E+00	-4.96E-01	6.09E+00	4.99E+00	-4.46E+00	1.23E-01
0.32	1.25E+00	-4.95E-01	6.08E+00	4.99E+00	-4.50E+00	1.19E-01
0.321	1.24E+00	-4.94E-01	6.07E+00	4.99E+00	-4.54E+00	1.14E-01
